"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","26 Nov 2021","17338.75","17355.40","16985.70","17026.45"
"NIFTY 50","25 Nov 2021","17417.30","17564.35","17351.70","17536.25"
"NIFTY 50","24 Nov 2021","17550.05","17600.60","17354.00","17415.05"
"NIFTY 50","23 Nov 2021","17281.75","17553.70","17216.10","17503.35"
"NIFTY 50","22 Nov 2021","17796.25","17805.25","17280.45","17416.55"
"NIFTY 50","18 Nov 2021","17890.55","17945.60","17688.50","17764.80"
"NIFTY 50","17 Nov 2021","17939.35","18022.65","17879.25","17898.65"
"NIFTY 50","16 Nov 2021","18127.05","18132.65","17958.80","17999.20"
"NIFTY 50","15 Nov 2021","18140.95","18210.15","18071.30","18109.45"
"NIFTY 50","12 Nov 2021","17977.60","18123.00","17905.90","18102.75"
"NIFTY 50","11 Nov 2021","17967.45","17971.35","17798.20","17873.60"
"NIFTY 50","10 Nov 2021","17973.45","18061.25","17915.00","18017.20"
"NIFTY 50","09 Nov 2021","18084.35","18112.60","17983.05","18044.25"
"NIFTY 50","08 Nov 2021","18040.20","18087.80","17836.10","18068.55"
"NIFTY 50","04 Nov 2021","17935.05","17947.55","17900.60","17916.80"
"NIFTY 50","03 Nov 2021","17947.95","17988.75","17757.95","17829.20"
"NIFTY 50","02 Nov 2021","17970.90","18012.25","17847.60","17888.95"
"NIFTY 50","01 Nov 2021","17783.15","17954.10","17697.10","17929.65"
"NIFTY 50","29 Oct 2021","17833.05","17915.85","17613.10","17671.65"
"NIFTY 50","28 Oct 2021","18187.65","18190.70","17799.45","17857.25"
"NIFTY 50","27 Oct 2021","18295.85","18342.05","18167.90","18210.95"
"NIFTY 50","26 Oct 2021","18154.50","18310.45","18099.30","18268.40"
"NIFTY 50","25 Oct 2021","18229.50","18241.40","17968.50","18125.40"
"NIFTY 50","22 Oct 2021","18230.70","18314.25","18034.35","18114.90"
"NIFTY 50","21 Oct 2021","18382.70","18384.20","18048.00","18178.10"
"NIFTY 50","20 Oct 2021","18439.90","18458.30","18209.35","18266.60"
"NIFTY 50","19 Oct 2021","18602.35","18604.45","18377.70","18418.75"
"NIFTY 50","18 Oct 2021","18500.10","18543.15","18445.30","18477.05"
"NIFTY 50","14 Oct 2021","18272.85","18350.75","18248.70","18338.55"
"NIFTY 50","13 Oct 2021","18097.85","18197.80","18050.75","18161.75"
"NIFTY 50","12 Oct 2021","17915.80","18008.65","17864.95","17991.95"
"NIFTY 50","11 Oct 2021","17867.55","18041.95","17839.10","17945.95"
"NIFTY 50","08 Oct 2021","17886.85","17941.85","17840.35","17895.20"
"NIFTY 50","07 Oct 2021","17810.55","17857.55","17763.80","17790.35"
"NIFTY 50","06 Oct 2021","17861.50","17884.60","17613.15","17646.00"
"NIFTY 50","05 Oct 2021","17661.35","17833.45","17640.90","17822.30"
"NIFTY 50","04 Oct 2021","17615.55","17750.90","17581.35","17691.25"
"NIFTY 50","01 Oct 2021","17531.90","17557.15","17452.90","17532.05"
"NIFTY 50","30 Sep 2021","17718.90","17742.15","17585.35","17618.15"
"NIFTY 50","29 Sep 2021","17657.95","17781.75","17608.15","17711.30"
"NIFTY 50","28 Sep 2021","17906.45","17912.85","17576.10","17748.60"
"NIFTY 50","27 Sep 2021","17932.20","17943.50","17802.90","17855.10"
"NIFTY 50","24 Sep 2021","17897.45","17947.65","17819.40","17853.20"
"NIFTY 50","23 Sep 2021","17670.85","17843.90","17646.55","17822.95"
"NIFTY 50","22 Sep 2021","17580.90","17610.45","17524.00","17546.65"
"NIFTY 50","21 Sep 2021","17450.50","17578.35","17326.10","17562.00"
"NIFTY 50","20 Sep 2021","17443.85","17622.75","17361.80","17396.90"
"NIFTY 50","17 Sep 2021","17709.65","17792.95","17537.65","17585.15"
"NIFTY 50","16 Sep 2021","17539.20","17644.60","17510.45","17629.50"
"NIFTY 50","15 Sep 2021","17387.65","17532.70","17386.90","17519.45"
"NIFTY 50","14 Sep 2021","17420.35","17438.55","17367.05","17380.00"
"NIFTY 50","13 Sep 2021","17363.55","17378.35","17269.15","17355.30"
"NIFTY 50","09 Sep 2021","17312.85","17379.65","17302.70","17369.25"
"NIFTY 50","08 Sep 2021","17375.75","17383.40","17254.20","17353.50"
"NIFTY 50","07 Sep 2021","17401.55","17436.50","17287.00","17362.10"
"NIFTY 50","06 Sep 2021","17399.35","17429.55","17345.55","17377.80"
"NIFTY 50","03 Sep 2021","17262.45","17340.10","17212.20","17323.60"
"NIFTY 50","02 Sep 2021","17095.40","17245.50","17059.70","17234.15"
"NIFTY 50","01 Sep 2021","17185.60","17225.75","17055.05","17076.25"
"NIFTY 50","31 Aug 2021","16947.50","17153.50","16915.85","17132.20"
"NIFTY 50","30 Aug 2021","16775.85","16951.50","16764.85","16931.05"
"NIFTY 50","27 Aug 2021","16642.55","16722.05","16565.60","16705.20"
"NIFTY 50","26 Aug 2021","16627.95","16683.70","16603.40","16636.90"
"NIFTY 50","25 Aug 2021","16654.00","16712.45","16617.50","16634.65"
"NIFTY 50","24 Aug 2021","16561.40","16647.10","16495.30","16624.60"
"NIFTY 50","23 Aug 2021","16592.25","16592.50","16395.70","16496.45"
"NIFTY 50","20 Aug 2021","16382.50","16509.55","16376.05","16450.50"
"NIFTY 50","18 Aug 2021","16691.95","16701.85","16535.85","16568.85"
"NIFTY 50","17 Aug 2021","16545.25","16628.55","16495.40","16614.60"
"NIFTY 50","16 Aug 2021","16518.40","16589.40","16480.75","16563.05"
"NIFTY 50","13 Aug 2021","16385.70","16543.60","16376.30","16529.10"
"NIFTY 50","12 Aug 2021","16303.65","16375.50","16286.90","16364.40"
"NIFTY 50","11 Aug 2021","16327.30","16338.75","16162.55","16282.25"
"NIFTY 50","10 Aug 2021","16274.80","16359.25","16202.25","16280.10"
"NIFTY 50","09 Aug 2021","16281.35","16320.75","16179.05","16258.25"
"NIFTY 50","06 Aug 2021","16304.40","16336.75","16223.30","16238.20"
"NIFTY 50","05 Aug 2021","16288.95","16349.45","16210.30","16294.60"
"NIFTY 50","04 Aug 2021","16195.25","16290.20","16176.15","16258.80"
"NIFTY 50","03 Aug 2021","15951.55","16146.90","15914.35","16130.75"
"NIFTY 50","02 Aug 2021","15874.90","15892.90","15834.65","15885.15"
"NIFTY 50","30 Jul 2021","15800.60","15862.80","15744.85","15763.05"
"NIFTY 50","29 Jul 2021","15762.70","15817.35","15737.80","15778.45"
"NIFTY 50","28 Jul 2021","15761.55","15767.50","15513.45","15709.40"
"NIFTY 50","27 Jul 2021","15860.50","15881.55","15701.00","15746.45"
"NIFTY 50","26 Jul 2021","15849.30","15893.35","15797.00","15824.45"
"NIFTY 50","23 Jul 2021","15856.80","15899.80","15768.40","15856.05"
"NIFTY 50","22 Jul 2021","15736.60","15834.80","15726.40","15824.05"
"NIFTY 50","20 Jul 2021","15703.95","15728.45","15578.55","15632.10"
"NIFTY 50","19 Jul 2021","15754.50","15836.90","15707.50","15752.40"
"NIFTY 50","16 Jul 2021","15958.35","15962.25","15882.60","15923.40"
"NIFTY 50","15 Jul 2021","15872.15","15952.35","15855.00","15924.20"
"NIFTY 50","14 Jul 2021","15808.70","15877.35","15764.20","15853.95"
"NIFTY 50","13 Jul 2021","15794.00","15820.80","15744.60","15812.35"
"NIFTY 50","12 Jul 2021","15766.80","15789.20","15644.75","15692.60"
"NIFTY 50","09 Jul 2021","15688.25","15730.85","15632.75","15689.80"
"NIFTY 50","08 Jul 2021","15855.40","15885.75","15682.90","15727.90"
"NIFTY 50","07 Jul 2021","15819.60","15893.55","15779.70","15879.65"
"NIFTY 50","06 Jul 2021","15813.75","15914.20","15801.00","15818.25"
"NIFTY 50","05 Jul 2021","15793.40","15845.95","15762.05","15834.35"
"NIFTY 50","02 Jul 2021","15705.85","15738.35","15635.95","15722.20"
"NIFTY 50","01 Jul 2021","15755.05","15755.55","15667.05","15680.00"
"NIFTY 50","30 Jun 2021","15776.90","15839.10","15708.75","15721.50"
"NIFTY 50","29 Jun 2021","15807.50","15835.90","15724.05","15748.45"
"NIFTY 50","28 Jun 2021","15915.35","15915.65","15792.15","15814.70"
"NIFTY 50","25 Jun 2021","15839.35","15870.80","15772.30","15860.35"
"NIFTY 50","24 Jun 2021","15737.30","15821.40","15702.70","15790.45"
"NIFTY 50","23 Jun 2021","15862.80","15862.95","15673.95","15686.95"
"NIFTY 50","22 Jun 2021","15840.50","15895.75","15752.10","15772.75"
"NIFTY 50","21 Jun 2021","15525.85","15765.15","15505.65","15746.50"
"NIFTY 50","18 Jun 2021","15756.50","15761.50","15450.90","15683.35"
"NIFTY 50","17 Jun 2021","15648.30","15769.35","15616.75","15691.40"
"NIFTY 50","16 Jun 2021","15847.50","15880.85","15742.60","15767.55"
"NIFTY 50","15 Jun 2021","15866.95","15901.60","15842.40","15869.25"
"NIFTY 50","14 Jun 2021","15791.40","15823.05","15606.50","15811.85"
"NIFTY 50","11 Jun 2021","15796.45","15835.55","15749.80","15799.35"
"NIFTY 50","10 Jun 2021","15692.10","15751.25","15648.50","15737.75"
"NIFTY 50","09 Jun 2021","15766.30","15800.45","15566.90","15635.35"
"NIFTY 50","08 Jun 2021","15773.90","15778.80","15680.00","15740.10"
"NIFTY 50","07 Jun 2021","15725.10","15773.45","15678.10","15751.65"
"NIFTY 50","04 Jun 2021","15712.50","15733.60","15622.35","15670.25"
"NIFTY 50","03 Jun 2021","15655.55","15705.10","15611.00","15690.35"
"NIFTY 50","02 Jun 2021","15520.35","15597.45","15459.85","15576.20"
"NIFTY 50","01 Jun 2021","15629.65","15660.75","15528.30","15574.85"
"NIFTY 50","31 May 2021","15437.75","15606.35","15374.00","15582.80"
"NIFTY 50","28 May 2021","15421.20","15469.65","15394.75","15435.65"
"NIFTY 50","27 May 2021","15323.95","15384.55","15272.50","15337.85"
"NIFTY 50","26 May 2021","15257.05","15319.90","15194.95","15301.45"
"NIFTY 50","25 May 2021","15291.75","15293.85","15163.40","15208.45"
"NIFTY 50","24 May 2021","15211.35","15256.25","15145.45","15197.70"
"NIFTY 50","21 May 2021","14987.80","15190.00","14985.85","15175.30"
"NIFTY 50","20 May 2021","15042.60","15069.80","14884.90","14906.05"
"NIFTY 50","19 May 2021","15058.60","15133.40","15008.85","15030.15"
"NIFTY 50","18 May 2021","15067.20","15137.25","15043.70","15108.10"
"NIFTY 50","17 May 2021","14756.25","14938.00","14725.35","14923.15"
"NIFTY 50","14 May 2021","14749.40","14749.65","14591.90","14677.80"
"NIFTY 50","12 May 2021","14823.55","14824.05","14649.70","14696.50"
"NIFTY 50","11 May 2021","14789.70","14900.00","14771.40","14850.75"
"NIFTY 50","10 May 2021","14928.25","14966.90","14892.50","14942.35"
"NIFTY 50","07 May 2021","14816.85","14863.05","14765.50","14823.15"
"NIFTY 50","06 May 2021","14668.35","14743.90","14611.50","14724.80"
"NIFTY 50","05 May 2021","14604.15","14637.90","14506.60","14617.85"
"NIFTY 50","04 May 2021","14687.25","14723.40","14461.50","14496.50"
"NIFTY 50","03 May 2021","14481.05","14673.85","14416.25","14634.15"
"NIFTY 50","30 Apr 2021","14747.35","14855.45","14601.70","14631.10"
"NIFTY 50","29 Apr 2021","14979.00","15044.35","14814.45","14894.90"
"NIFTY 50","28 Apr 2021","14710.50","14890.25","14694.95","14864.55"
"NIFTY 50","27 Apr 2021","14493.80","14667.55","14484.85","14653.05"
"NIFTY 50","26 Apr 2021","14449.45","14557.50","14421.30","14485.00"
"NIFTY 50","23 Apr 2021","14326.35","14461.15","14273.30","14341.35"
"NIFTY 50","22 Apr 2021","14219.15","14424.75","14151.40","14406.15"
"NIFTY 50","20 Apr 2021","14526.70","14526.95","14207.30","14296.40"
"NIFTY 50","19 Apr 2021","14306.60","14382.30","14191.40","14359.45"
"NIFTY 50","16 Apr 2021","14599.60","14697.70","14559.00","14617.85"
"NIFTY 50","15 Apr 2021","14522.40","14597.55","14353.20","14581.45"
"NIFTY 50","13 Apr 2021","14364.90","14528.90","14274.90","14504.80"
"NIFTY 50","12 Apr 2021","14644.65","14652.50","14248.70","14310.80"
"NIFTY 50","09 Apr 2021","14882.65","14918.45","14785.65","14834.85"
"NIFTY 50","08 Apr 2021","14875.65","14984.15","14821.10","14873.80"
"NIFTY 50","07 Apr 2021","14716.45","14879.80","14649.85","14819.05"
"NIFTY 50","06 Apr 2021","14737.00","14779.10","14573.90","14683.50"
"NIFTY 50","05 Apr 2021","14837.70","14849.85","14459.50","14637.80"
"NIFTY 50","01 Apr 2021","14798.40","14883.20","14692.45","14867.35"
"NIFTY 50","31 Mar 2021","14811.85","14813.75","14670.25","14690.70"
"NIFTY 50","30 Mar 2021","14628.50","14876.30","14617.60","14845.10"
"NIFTY 50","26 Mar 2021","14506.30","14572.90","14414.25","14507.30"
"NIFTY 50","25 Mar 2021","14570.90","14575.60","14264.40","14324.90"
"NIFTY 50","24 Mar 2021","14712.45","14752.35","14535.00","14549.40"
"NIFTY 50","23 Mar 2021","14768.55","14878.60","14707.00","14814.75"
"NIFTY 50","22 Mar 2021","14736.30","14763.90","14597.85","14736.40"
"NIFTY 50","19 Mar 2021","14471.15","14788.25","14350.10","14744.00"
"NIFTY 50","18 Mar 2021","14855.50","14875.20","14478.60","14557.85"
"NIFTY 50","17 Mar 2021","14946.55","14956.55","14696.05","14721.30"
"NIFTY 50","16 Mar 2021","14996.10","15051.60","14890.65","14910.45"
"NIFTY 50","15 Mar 2021","15048.40","15048.40","14745.85","14929.50"
"NIFTY 50","12 Mar 2021","15321.15","15336.30","14953.60","15030.95"
"NIFTY 50","10 Mar 2021","15202.15","15218.45","15100.85","15174.80"
"NIFTY 50","09 Mar 2021","15049.90","15126.85","14925.45","15098.40"
"NIFTY 50","08 Mar 2021","15002.45","15111.15","14919.90","14956.20"
